mysql> source getMaxCPUbyDatabase.sql
+-------------------+------------------------------------------+
| sp_database_db_id | max(cast(mp_plotvalue as decimal(10,2))) |
+-------------------+------------------------------------------+
|                93 |                                    11.00 |
|                94 |                                    10.00 |
|                95 |                                     8.00 |
|                96 |                                    53.00 |
|                97 |                                    10.00 |
|                98 |                                     8.00 |
|                99 |                                     5.00 |
|               100 |                                     7.00 |
|               101 |                                     6.00 |
|               102 |                                    63.00 |
|               103 |                                    48.00 |
|               104 |                                    51.00 |
|               105 |                                     5.00 |
|               106 |                                     6.00 |
|               107 |                                     5.00 |
|               108 |                                    44.00 |
|               109 |                                     7.00 |
|               110 |                                     7.00 |
|               111 |                                    58.00 |
|               119 |                                     7.00 |
|               120 |                                     7.00 |
|               121 |                                    64.00 |
|               122 |                                    50.00 |
|               125 |                                    21.00 |
|               126 |                                     8.00 |
|               127 |                                    70.00 |
|               128 |                                    14.00 |
|               129 |                                     7.00 |
|               131 |                                     5.00 |
|               132 |                                    15.00 |
|               133 |                                     6.00 |
|               134 |                                     5.00 |
|               135 |                                    46.00 |
|               136 |                                    74.00 |
|               138 |                                     7.00 |
|               139 |                                    56.00 |
|               140 |                                     5.00 |
|               141 |                                    51.00 |
|               142 |                                    59.00 |
|               143 |                                     8.00 |
|               144 |                                     8.00 |
|               145 |                                     6.00 |
|               146 |                                    15.00 |
|               147 |                                     5.00 |
|               148 |                                    21.00 |
|               149 |                                     6.00 |
|               150 |                                     7.00 |
|               151 |                                     6.00 |
|               152 |                                    20.00 |
|               153 |                                    11.00 |
|               154 |                                    14.00 |
|               155 |                                     6.00 |
|               156 |                                     7.00 |
|               157 |                                    47.00 |
|               158 |                                    17.00 |
|               159 |                                     9.00 |
|               160 |                                     5.00 |
|               162 |                                     8.00 |
|               163 |                                     7.00 |
|               164 |                                    27.00 |
|               165 |                                    72.00 |
|               166 |                                     6.00 |
|               167 |                                     5.00 |
|               169 |                                     8.00 |
|               171 |                                    14.00 |
|               172 |                                    18.00 |
|               173 |                                     6.00 |
|               174 |                                    10.00 |
|               175 |                                    12.00 |
|               176 |                                     7.00 |
|               177 |                                     7.00 |
|               178 |                                    14.00 |
|               179 |                                    11.00 |
|               180 |                                    10.00 |
|               182 |                                    62.00 |
|               183 |                                     8.00 |
|               184 |                                     6.00 |
|               185 |                                     9.00 |
|               186 |                                    10.00 |
|               187 |                                    51.00 |
|               188 |                                     7.00 |
|               189 |                                     7.00 |
|               190 |                                     6.00 |
|               191 |                                    67.00 |
|               194 |                                     6.00 |
|               195 |                                     8.00 |
|               196 |                                     7.00 |
|               197 |                                     8.00 |
|               198 |                                    31.00 |
|               199 |                                    66.00 |
|               200 |                                    39.00 |
|               201 |                                     7.00 |
|               202 |                                     6.00 |
|               203 |                                     5.00 |
|               204 |                                     6.00 |
|               205 |                                     7.00 |
|               206 |                                     9.00 |
|               207 |                                     9.00 |
|               208 |                                     5.00 |
|               209 |                                    89.00 |
|               210 |                                    62.00 |
|               211 |                                     7.00 |
|               212 |                                    48.00 |
|               213 |                                     8.00 |
|               214 |                                    29.00 |
|               215 |                                     8.00 |
|               216 |                                     6.00 |
|               217 |                                     8.00 |
|               218 |                                     9.00 |
|               219 |                                    16.00 |
|               220 |                                     7.00 |
|               221 |                                    66.00 |
|               222 |                                     6.00 |
|               223 |                                     5.00 |
|               224 |                                     7.00 |
|               225 |                                     6.00 |
|               226 |                                    57.00 |
|               227 |                                    10.00 |
|               228 |                                     6.00 |
|               229 |                                     7.00 |
|               230 |                                     9.00 |
|               231 |                                     8.00 |
|               232 |                                    10.00 |
|               233 |                                    46.00 |
|               234 |                                     5.00 |
|               235 |                                    57.00 |
|               236 |                                     8.00 |
|               237 |                                     5.00 |
|               238 |                                     6.00 |
|               239 |                                    50.00 |
|               240 |                                     6.00 |
|               242 |                                     7.00 |
|               243 |                                    54.00 |
|               244 |                                     9.00 |
|               245 |                                    51.00 |
|               246 |                                     6.00 |
|               247 |                                     6.00 |
|               248 |                                     7.00 |
|               249 |                                     7.00 |
|               250 |                                     8.00 |
|               251 |                                     7.00 |
|               252 |                                    18.00 |
|               253 |                                     9.00 |
|               254 |                                     7.00 |
|               255 |                                     6.00 |
|               256 |                                    47.00 |
|               257 |                                    40.00 |
|               259 |                                     8.00 |
|               260 |                                    54.00 |
|               261 |                                     5.00 |
|               263 |                                     5.00 |
|               264 |                                     7.00 |
|               265 |                                    64.00 |
|               266 |                                     7.00 |
|               267 |                                     7.00 |
|               269 |                                    75.00 |
|               270 |                                     7.00 |
|               271 |                                     9.00 |
|               272 |                                    10.00 |
|               273 |                                     8.00 |
|               274 |                                    11.00 |
|               275 |                                    31.00 |
|               276 |                                    66.00 |
|               277 |                                    23.00 |
|               279 |                                    24.00 |
|               282 |                                     5.00 |
|               283 |                                     6.00 |
|               284 |                                     8.00 |
|               285 |                                    13.00 |
|               286 |                                    41.00 |
|               288 |                                    37.00 |
|               289 |                                    11.00 |
|               290 |                                     6.00 |
|               291 |                                    10.00 |
|               292 |                                    64.00 |
|               293 |                                     6.00 |
|               294 |                                    49.00 |
|               295 |                                     6.00 |
|               298 |                                    12.00 |
|               299 |                                    10.00 |
|               300 |                                     6.00 |
|               302 |                                    12.00 |
|               303 |                                     6.00 |
|               304 |                                     6.00 |
|               305 |                                    18.00 |
|               306 |                                     6.00 |
|               307 |                                     8.00 |
|               308 |                                    10.00 |
|               310 |                                     9.00 |
|               312 |                                    14.00 |
|               313 |                                    21.00 |
|               314 |                                     9.00 |
|               315 |                                     6.00 |
|               316 |                                     9.00 |
|               317 |                                     6.00 |
|               318 |                                     8.00 |
|               319 |                                     9.00 |
|               320 |                                     8.00 |
|               322 |                                     5.00 |
|               323 |                                    10.00 |
|               324 |                                    10.00 |
|               325 |                                     7.00 |
|               326 |                                    13.00 |
|               327 |                                     7.00 |
|               328 |                                     6.00 |
|               329 |                                     5.00 |
|               330 |                                    10.00 |
|               331 |                                    10.00 |
|               332 |                                     7.00 |
|               333 |                                     9.00 |
|               334 |                                     7.00 |
|               335 |                                    13.00 |
|               336 |                                     6.00 |
|               337 |                                     9.00 |
|               338 |                                    14.00 |
|               339 |                                     7.00 |
|               341 |                                     8.00 |
|               342 |                                    12.00 |
|               343 |                                     8.00 |
|               344 |                                     8.00 |
|               345 |                                     8.00 |
|               346 |                                     6.00 |
|               347 |                                     7.00 |
|               348 |                                     9.00 |
|               349 |                                    11.00 |
|               350 |                                     6.00 |
|               351 |                                     8.00 |
|               352 |                                     6.00 |
|               353 |                                    29.00 |
|               354 |                                     6.00 |
|               355 |                                    13.00 |
|               356 |                                    14.00 |
|               357 |                                     7.00 |
|               358 |                                     5.00 |
|               359 |                                    25.00 |
|               360 |                                     8.00 |
|               361 |                                    19.00 |
|               362 |                                    16.00 |
|               363 |                                     8.00 |
|               364 |                                    21.00 |
|               365 |                                    22.00 |
|               366 |                                     9.00 |
|               367 |                                     5.00 |
|               368 |                                    17.00 |
|               369 |                                     9.00 |
|               370 |                                    11.00 |
|               371 |                                    14.00 |
|               372 |                                     6.00 |
|               373 |                                    14.00 |
|               374 |                                     8.00 |
|               375 |                                    14.00 |
|               376 |                                    11.00 |
|               377 |                                    10.00 |
|               378 |                                     6.00 |
|               379 |                                     9.00 |
|               380 |                                     6.00 |
|               381 |                                     8.00 |
|               382 |                                     6.00 |
|               383 |                                     9.00 |
|               384 |                                     8.00 |
|               385 |                                     9.00 |
|               386 |                                     9.00 |
|               387 |                                    10.00 |
|               388 |                                    12.00 |
|               389 |                                     9.00 |
|               390 |                                    12.00 |
|               391 |                                     7.00 |
|               392 |                                     9.00 |
|               393 |                                     8.00 |
|               394 |                                    15.00 |
|               395 |                                     8.00 |
|               397 |                                     6.00 |
+-------------------+------------------------------------------+
272 rows in set (5 min 53.35 sec)

mysql> notee
